text,parent_key
inhibitor,BE0001032
substrate,BE0001069
substrate,BE0001032
inhibitor,BE0001032
inducer,BE0001032
inhibitor,BE0001061
inhibitor,BE0000703
inhibitor,BE0000785
inhibitor,BE0003642
inhibitor,BE0003643
inhibitor,BE0003644
inhibitor,BE0001066
inhibitor,BE0003651
inhibitor,BE0001069
inhibitor,BE0001067
inhibitor,BE0001004
substrate,BE0000340
substrate,BE0000238
substrate,BE0000362
substrate,BE0004690
substrate,BE0000936
carrier,BE0000734
inhibitor,BE0001069
substrate,BE0003654
inhibitor,BE0003654
substrate,BE0000440
inhibitor,BE0000440
substrate,BE0000669
inhibitor,BE0000669
substrate,BE0003654
inhibitor,BE0003654
inhibitor,BE0003655
substrate,BE0000449
inhibitor,BE0003654
substrate,BE0003647
inhibitor,BE0003647
substrate,BE0003648
inhibitor,BE0003648
inhibitor,BE0003650
inhibitor,BE0000106
inhibitor,BE0000757
substrate,BE0001059
substrate,BE0002182
substrate,BE0002183
substrate,BE0002184
substrate,BE0000696
substrate,BE0003654
inhibitor,BE0003654
inhibitor,BE0000757
inhibitor,BE0000106
inhibitor,BE0003654
inhibitor,BE0000757
inhibitor,BE0000757
substrate,BE0003648
inhibitor,BE0003654
inhibitor,BE0003654
substrate,BE0000285
substrate,BE0000236
substrate,BE0000789
inhibitor,BE0003654
inhibitor,BE0003654
inhibitor,BE0000178
inhibitor,BE0003654
inhibitor,BE0003654
substrate,BE0003645
inhibitor,BE0001066
substrate,BE0003654
inhibitor,BE0003654
substrate,BE0000669
substrate,BE0000785
inhibitor,BE0000785
substrate,BE0001069
inhibitor,BE0001069
substrate,BE0001061
substrate,BE0001188
substrate,BE0003639
substrate,BE0003654
inhibitor,BE0003654
inhibitor,BE0000106
inhibitor,BE0003654
substrate,BE0000178
inhibitor,BE0000178
inhibitor,BE0003654
inhibitor,BE0003654
inhibitor,BE0003647
inhibitor,BE0003648
inhibitor,BE0000106
substrate,BE0001066
inhibitor,BE0003654
substrate,BE0001061
substrate,BE0003658
inhibitor,BE0001066
inhibitor,BE0001188
substrate,BE0001067
substrate,BE0001048
substrate,BE0000730
inhibitor,BE0003654
inhibitor,BE0003654
inhibitor,BE0003654
inhibitor,BE0001066
inhibitor,BE0003645
inhibitor,BE0000879
inhibitor,BE0003654
inhibitor,BE0003654
substrate,BE0001004
inhibitor,BE0001004
substrate,BE0001042
inhibitor,BE0001042
substrate,BE0001032
inhibitor,BE0003642
inhibitor,BE0001066
substrate,BE0003645
inhibitor,BE0003645
substrate,BE0001069
inhibitor,BE0001069
inhibitor,BE0000879
substrate,BE0001067
inhibitor,BE0001067
inhibitor,BE0003646
substrate,BE0000703
substrate,BE0003659
inhibitor,BE0001032
substrate,BE0003659
substrate,BE0001004
substrate,BE0001018
substrate,BE0001134
inhibitor,BE0003645
inhibitor,BE0003650
inhibitor,BE0000106
inhibitor,BE0003647
inhibitor,BE0003648
inhibitor,BE0003650
inhibitor,BE0000106
inhibitor,BE0000757
inhibitor,BE0001032
inhibitor,BE0000703
inhibitor,BE0001004
substrate,BE0001188
substrate,BE0001018
substrate,BE0003645
inhibitor,BE0001032
substrate,BE0001004
substrate,BE0001032
inhibitor,BE0001032
inhibitor,BE0001188
inhibitor,BE0003639
inhibitor,BE0003651
substrate,BE0001032
inhibitor,BE0001032
inducer,BE0001032
inhibitor,BE0003648
inhibitor,BE0000703
inhibitor,BE0001069
substrate,BE0003647
inhibitor,BE0001032
inhibitor,BE0001032
inhibitor,BE0001067
inhibitor,BE0001004
substrate,BE0001032
inhibitor,BE0001032
substrate,BE0000647
inhibitor,BE0000647
substrate,BE0000486
inhibitor,BE0000486
substrate,BE0000749
inhibitor,BE0000749
substrate,BE0001032
substrate,BE0001032
inhibitor,BE0001032
inducer,BE0001032
inhibitor,BE0003648
inhibitor,BE0003642
inhibitor,BE0001067
inhibitor,BE0001004
substrate,BE0001032
inhibitor,BE0001032
inducer,BE0001032
inhibitor,BE0003648
inhibitor,BE0000785
inhibitor,BE0003642
inhibitor,BE0001004
substrate,BE0001069
inhibitor,BE0001032
inhibitor,BE0003642
substrate,BE0001004
inhibitor,BE0001004
substrate,BE0001069
substrate,BE0001066
inhibitor,BE0001066
substrate,BE0003645
inhibitor,BE0003645
other,BE0001054
inhibitor,BE0001032
substrate,BE0003648
substrate,BE0001067
inhibitor,BE0003660
substrate,BE0001032
substrate,BE0001069
inhibitor,BE0001066
inhibitor,BE0003645
inhibitor,BE0000879
inhibitor,BE0001067
substrate,BE0001032
inducer,BE0001061
inhibitor,BE0001032
inducer,BE0001032
inducer,BE0001069
inhibitor,BE0000703
inhibitor,BE0003647
substrate,BE0001032
inhibitor,BE0001018
inhibitor,BE0001134
substrate,BE0001069
inducer,BE0001069
substrate,BE0003659
substrate,BE0001004
inhibitor,BE0001032
inhibitor,BE0003646
substrate,BE0003642
substrate,BE0001004
substrate,BE0003659
substrate,BE0003653
substrate,BE0003644
substrate,BE0003660
inhibitor,BE0003660
substrate,BE0003656
inhibitor,BE0003656
inhibitor,BE0003645
inhibitor,BE0003654
inducer,BE0001032
inhibitor,BE0003648
inhibitor,BE0003647
inhibitor,BE0000106
inhibitor,BE0001032
substrate,BE0001032
inhibitor,BE0001032
inducer,BE0001067
inhibitor,BE0001061
inhibitor,BE0001188
inhibitor,BE0000785
substrate,BE0003642
inhibitor,BE0003642
inhibitor,BE0003644
inhibitor,BE0003652
substrate,BE0003645
inhibitor,BE0003645
substrate,BE0003660
inhibitor,BE0003660
substrate,BE0001004
inhibitor,BE0001004
substrate,BE0001042
substrate,BE0001032
substrate,BE0001066
substrate,BE0003667
substrate,BE0003668
substrate,BE0001069
substrate,BE0003656
substrate,BE0003658
substrate,BE0003659
substrate,BE0000879
substrate,BE0003661
substrate,BE0001067
substrate,BE0001032
substrate,BE0001066
substrate,BE0003645
substrate,BE0003651
substrate,BE0001188
substrate,BE0001069
inhibitor,BE0001066
inhibitor,BE0001066
inhibitor,BE0000106
substrate,BE0003645
inhibitor,BE0003645
substrate,BE0000669
substrate,BE0003646
inhibitor,BE0001066
substrate,BE0001032
inhibitor,BE0001032
substrate,BE0001032
inhibitor,BE0001032
substrate,BE0001067
inhibitor,BE0001067
substrate,BE0003648
inhibitor,BE0001066
inhibitor,BE0001032
substrate,BE0001032
inhibitor,BE0001032
inhibitor,BE0001061
inhibitor,BE0001188
inhibitor,BE0003640
substrate,BE0001032
inhibitor,BE0001032
inhibitor,BE0000785
substrate,BE0003642
inhibitor,BE0003642
substrate,BE0001066
inhibitor,BE0001066
inhibitor,BE0003645
substrate,BE0001069
inhibitor,BE0001069
inhibitor,BE0003658
inhibitor,BE0000879
substrate,BE0003644
substrate,BE0003646
substrate,BE0003648
inhibitor,BE0003648
substrate,BE0003647
inhibitor,BE0003647
substrate,BE0003650
inhibitor,BE0003657
substrate,BE0004775
substrate,BE0000106
substrate,BE0000757
inhibitor,BE0001032
substrate,BE0001032
substrate,BE0001032
inducer,BE0001061
inhibitor,BE0001032
inhibitor,BE0001067
inhibitor,BE0001032
substrate,BE0001032
inhibitor,BE0001032
inhibitor,BE0001032
inhibitor,BE0003647
inhibitor,BE0003648
inhibitor,BE0000106
substrate,BE0001066
inhibitor,BE0001066
substrate,BE0003645
inhibitor,BE0003645
substrate,BE0001069
inhibitor,BE0001069
inhibitor,BE0000757
substrate,BE0000879
inhibitor,BE0000879
inhibitor,BE0003661
inhibitor,BE0001004
substrate,BE0000785
substrate,BE0003642
substrate,BE0000669
substrate,BE0003646
other,BE0000249
other,BE0004733
substrate,BE0001032
inhibitor,BE0001032
inhibitor,BE0001188
inhibitor,BE0001032
substrate,BE0001032
substrate,BE0001032
substrate,BE0001032
inhibitor,BE0001032
substrate,BE0000785
substrate,BE0001066
inhibitor,BE0003647
inhibitor,BE0000106
inhibitor,BE0001069
substrate,BE0000486
substrate,BE0003647
inhibitor,BE0003647
substrate,BE0003650
inhibitor,BE0003650
inhibitor,BE0000106
substrate,BE0003648
substrate,BE0003665
substrate,BE0001066
inhibitor,BE0001066
substrate,BE0001032
inhibitor,BE0001032
substrate,BE0001032
substrate,BE0001032
inhibitor,BE0001032
inducer,BE0001032
inhibitor,BE0003653
inhibitor,BE0003645
substrate,BE0001042
substrate,BE0000703
substrate,BE0003642
substrate,BE0003667
substrate,BE0003668
substrate,BE0003656
substrate,BE0003659
substrate,BE0003660
substrate,BE0001004
inhibitor,BE0001004
substrate,BE0001032
inhibitor,BE0001032
inducer,BE0001032
inhibitor,BE0003647
inhibitor,BE0003648
inhibitor,BE0003650
inhibitor,BE0000703
inhibitor,BE0000785
inhibitor,BE0003644
substrate,BE0001067
inhibitor,BE0001067
inhibitor,BE0001188
substrate,BE0001032
inhibitor,BE0001032
inhibitor,BE0001069
substrate,BE0004770
substrate,BE0000785
inhibitor,BE0001032
inhibitor,BE0003648
inhibitor,BE0001004
substrate,BE0003647
substrate,BE0003648
inhibitor,BE0000106
inhibitor,BE0001018
inhibitor,BE0001134
inducer,BE0001069
inducer,BE0001032
inhibitor,BE0003642
inducer,BE0001032
substrate,BE0001066
inhibitor,BE0001066
substrate,BE0003645
substrate,BE0003646
inhibitor,BE0000106
inhibitor,BE0001018
inhibitor,BE0001134
inhibitor,BE0001066
substrate,BE0001032
substrate,BE0001069
substrate,BE0001067
substrate,BE0001004
inhibitor,BE0001032
inducer,BE0001032
substrate,BE0001032
substrate,BE0003651
substrate,BE0001204
substrate,BE0003672
substrate,BE0001032
substrate,BE0003640
substrate,BE0001067
substrate,BE0000785
inhibitor,BE0001066
inhibitor,BE0001018
inhibitor,BE0001134
substrate,BE0001032
inhibitor,BE0001032
inhibitor,BE0001067
substrate,BE0003660
inhibitor,BE0000178
inducer,BE0001032
inhibitor,BE0001032
inhibitor,BE0000106
inhibitor,BE0001018
inhibitor,BE0001134
inhibitor,BE0001066
inhibitor,BE0003645
inhibitor,BE0000879
inhibitor,BE0003646
substrate,BE0003647
inhibitor,BE0003647
inhibitor,BE0003648
inhibitor,BE0003650
substrate,BE0001032
inhibitor,BE0001032
substrate,BE0001067
substrate,BE0001032
inhibitor,BE0003648
inhibitor,BE0003647
inhibitor,BE0003650
inhibitor,BE0000757
inhibitor,BE0003647
substrate,BE0003648
inhibitor,BE0003648
inhibitor,BE0000106
substrate,BE0001032
inhibitor,BE0001032
inhibitor,BE0003642
inhibitor,BE0000757
inhibitor,BE0003645
inhibitor,BE0001032
inhibitor,BE0001067
substrate,BE0001042
inhibitor,BE0001032
substrate,BE0001032
inhibitor,BE0001032
inhibitor,BE0003648
substrate,BE0001032
inhibitor,BE0001188
inhibitor,BE0001018
inhibitor,BE0001134
inhibitor,BE0001032
substrate,BE0001018
substrate,BE0001134
inhibitor,BE0001018
inhibitor,BE0001134
inhibitor,BE0001066
inhibitor,BE0003645
inhibitor,BE0000879
inhibitor,BE0003646
substrate,BE0001066
substrate,BE0003645
inhibitor,BE0003645
substrate,BE0001032
substrate,BE0001188
substrate,BE0003639
substrate,BE0001067
inhibitor,BE0001066
substrate,BE0001032
inducer,BE0001032
substrate,BE0003647
inhibitor,BE0003647
substrate,BE0003648
inhibitor,BE0003648
substrate,BE0003650
inhibitor,BE0003650
inhibitor,BE0000106
substrate,BE0001066
inhibitor,BE0001066
substrate,BE0003645
inhibitor,BE0003645
inhibitor,BE0003657
inhibitor,BE0000757
inhibitor,BE0000879
substrate,BE0003646
inhibitor,BE0003646
substrate,BE0001032
inhibitor,BE0001032
substrate,BE0001032
inhibitor,BE0001032
inducer,BE0001032
inhibitor,BE0000785
inducer,BE0000785
inhibitor,BE0003642
substrate,BE0001069
inducer,BE0001069
inhibitor,BE0001067
inhibitor,BE0001004
inhibitor,BE0001032
inducer,BE0001061
inducer,BE0003639
inducer,BE0001069
substrate,BE0003647
inhibitor,BE0003647
substrate,BE0003649
substrate,BE0003662
substrate,BE0003640
substrate,BE0001032
substrate,BE0003664
substrate,BE0003666
substrate,BE0001067
inhibitor,BE0001032
substrate,BE0001018
substrate,BE0001134
inhibitor,BE0003648
inhibitor,BE0001032
inhibitor,BE0001066
inhibitor,BE0001004
substrate,BE0003659
substrate,BE0001032
substrate,BE0003647
substrate,BE0003648
substrate,BE0003649
substrate,BE0003650
substrate,BE0001067
substrate,BE0001069
substrate,BE0003664
substrate,BE0003666
inhibitor,BE0001066
substrate,BE0000669
inhibitor,BE0001067
substrate,BE0001032
inhibitor,BE0001188
inhibitor,BE0000106
substrate,BE0001018
inhibitor,BE0001018
inhibitor,BE0001134
substrate,BE0001066
substrate,BE0003645
inhibitor,BE0003645
inhibitor,BE0003647
inhibitor,BE0003648
substrate,BE0003650
inhibitor,BE0003650
inhibitor,BE0000106
inhibitor,BE0003645
inhibitor,BE0000757
substrate,BE0001032
substrate,BE0001032
substrate,BE0001032
inhibitor,BE0001032
inducer,BE0001032
inhibitor,BE0001061
inhibitor,BE0003650
substrate,BE0000785
inhibitor,BE0000785
substrate,BE0003651
inhibitor,BE0003651
substrate,BE0001069
inhibitor,BE0001069
substrate,BE0000703
substrate,BE0001067
substrate,BE0004770
substrate,BE0001018
substrate,BE0001134
substrate,BE0003646
substrate,BE0001204
substrate,BE0001067
substrate,BE0001061
substrate,BE0001188
substrate,BE0003639
antagonist,BE0001067
inhibitor,BE0001066
inhibitor,BE0003645
inhibitor,BE0000879
substrate,BE0001032
inhibitor,BE0000703
substrate,BE0001061
inhibitor,BE0001061
substrate,BE0001188
inhibitor,BE0001188
substrate,BE0000785
inhibitor,BE0000785
substrate,BE0001066
inhibitor,BE0001066
inhibitor,BE0003651
substrate,BE0003645
inhibitor,BE0003645
substrate,BE0001069
inhibitor,BE0001069
substrate,BE0001032
substrate,BE0003642
substrate,BE0000669
substrate,BE0003658
substrate,BE0003659
substrate,BE0000879
substrate,BE0003660
substrate,BE0003661
substrate,BE0001067
substrate,BE0003646
substrate,BE0001048
inhibitor,BE0001048
substrate,BE0001004
substrate,BE0004711
substrate,BE0003405
inducer,BE0001032
substrate,BE0004770
substrate,BE0001069
inhibitor,BE0000106
substrate,BE0001018
inhibitor,BE0001018
inhibitor,BE0001134
substrate,BE0001066
inhibitor,BE0001066
substrate,BE0003657
inhibitor,BE0003645
substrate,BE0001032
inhibitor,BE0001032
inducer,BE0001032
substrate,BE0000785
inhibitor,BE0000785
inducer,BE0000785
substrate,BE0001069
inhibitor,BE0001069
inducer,BE0001069
inhibitor,BE0003640
substrate,BE0000703
inhibitor,BE0000703
inhibitor,BE0003647
substrate,BE0001032
inhibitor,BE0003648
inhibitor,BE0003650
inhibitor,BE0000106
inhibitor,BE0000757
substrate,BE0001032
substrate,BE0001018
inhibitor,BE0001018
inhibitor,BE0001134
substrate,BE0003645
inhibitor,BE0001066
substrate,BE0000757
inhibitor,BE0000757
inhibitor,BE0001004
substrate,BE0000106
substrate,BE0003669
substrate,BE0003645
inhibitor,BE0001032
substrate,BE0001018
inhibitor,BE0001018
inhibitor,BE0001066
inhibitor,BE0003645
inhibitor,BE0003646
substrate,BE0003642
substrate,BE0001032
inhibitor,BE0001188
inhibitor,BE0001032
inhibitor,BE0000785
inhibitor,BE0001066
inhibitor,BE0003645
inhibitor,BE0003660
inhibitor,BE0000879
inhibitor,BE0001032
inhibitor,BE0003647
inhibitor,BE0003648
inhibitor,BE0000757
inhibitor,BE0001066
inhibitor,BE0003645
inhibitor,BE0000879
inhibitor,BE0003646
substrate,BE0001032
inhibitor,BE0001032
inhibitor,BE0000785
inhibitor,BE0001069
substrate,BE0001067
inhibitor,BE0001066
inhibitor,BE0001066
inhibitor,BE0001066
substrate,BE0003648
inhibitor,BE0003648
substrate,BE0001032
inhibitor,BE0001032
inhibitor,BE0003647
substrate,BE0001067
inhibitor,BE0001067
substrate,BE0003671
substrate,BE0001032
inhibitor,BE0001032
inhibitor,BE0001032
inhibitor,BE0003642
inducer,BE0003642
inducer,BE0003645
inducer,BE0003646
inhibitor,BE0003648
inhibitor,BE0001032
inhibitor,BE0003644
substrate,BE0003650
substrate,BE0000757
substrate,BE0001067
inhibitor,BE0000106
inhibitor,BE0001042
substrate,BE0000669
substrate,BE0001067
substrate,BE0001032
inhibitor,BE0003642
inhibitor,BE0001032
inhibitor,BE0001032
inhibitor,BE0003642
substrate,BE0001004
inhibitor,BE0001004
substrate,BE0001069
substrate,BE0001066
substrate,BE0003645
inhibitor,BE0003645
substrate,BE0001042
inhibitor,BE0001042
substrate,BE0001032
inducer,BE0001032
inhibitor,BE0003642
inhibitor,BE0001067
inhibitor,BE0001004
substrate,BE0003645
inducer,BE0001032
substrate,BE0001032
inhibitor,BE0001032
inducer,BE0001032
inhibitor,BE0003648
inhibitor,BE0001061
inhibitor,BE0001188
inhibitor,BE0000106
inhibitor,BE0000785
inhibitor,BE0003642
inhibitor,BE0003651
inhibitor,BE0001069
inhibitor,BE0000757
inhibitor,BE0001067
inhibitor,BE0001004
substrate,BE0003647
inhibitor,BE0003647
substrate,BE0003648
inhibitor,BE0003648
inhibitor,BE0000106
inducer,BE0003642
substrate,BE0001032
substrate,BE0001067
substrate,BE0001004
inhibitor,BE0000106
substrate,BE0001018
inhibitor,BE0001018
inhibitor,BE0001134
inhibitor,BE0001018
inhibitor,BE0001134
inhibitor,BE0001066
substrate,BE0001032
inhibitor,BE0001032
inducer,BE0001032
substrate,BE0001067
substrate,BE0001069
substrate,BE0001032
inhibitor,BE0001032
inhibitor,BE0001066
inhibitor,BE0004782
inhibitor,BE0004783
substrate,BE0001032
inhibitor,BE0001032
inducer,BE0001032
inhibitor,BE0003648
substrate,BE0001004
substrate,BE0003659
substrate,BE0001069
substrate,BE0001067
substrate,BE0001032
inhibitor,BE0000106
inhibitor,BE0001032
